Area,Item,2000,2005,2010,2015,2020
Afghanistan,All sectors with LULUCF,-1474.803,1610.9016,8751.9016,7937.7809,9592.6574
Albania,All sectors with LULUCF,3344.0616,3306.2616,3806.9481,4040.6095,5026.4672
Algeria,All sectors with LULUCF,92645.083,106475.9717,118196.1917,166276.544,175699.32
American Samoa,All sectors with LULUCF,-50.9378,-39.4,-39.4,-35.8948,-41.1479
Andorra,All sectors with LULUCF,548.08,602.56,542.03,487.63,447.6
Angola,All sectors with LULUCF,26917.6707,51278.9193,58935.1133,64591.0071,62374.852
Anguilla,All sectors with LULUCF,88.0,129.0,151.0,154.0,134.0
Antigua and Barbuda,All sectors with LULUCF,295.52,377.04,458.24,483.16,472.23
Argentina,All sectors with LULUCF,192303.8578,263791.1305,288819.2697,267179.3126,204717.6459
Armenia,All sectors with LULUCF,3759.5921,4638.1818,4513.1818,5122.7903,6425.0668
Aruba,All sectors with LULUCF,2383.3016,2724.4077,2514.2577,902.9935,877.7778
Australia,All sectors with LULUCF,391068.7309,390824.2664,435616.5114,350697.9847,359523.4515
Austria,All sectors with LULUCF,52566.9879,71326.4495,65106.9235,57505.0431,52673.5238
Azerbaijan,All sectors with LULUCF,41885.1119,40085.3253,28415.3253,32451.65,34303.9779
Bahamas,All sectors with LULUCF,1962.075,1843.548,2404.222,2053.185,1863.25
Bahrain,All sectors with LULUCF,21078.1374,22297.7289,31717.7289,35207.1053,27137.1111
Bangladesh,All sectors with LULUCF,47341.0335,59371.1388,74078.4406,92586.2258,111741.2199
Barbados,All sectors with LULUCF,1163.0234,1323.6157,1469.6157,1279.5525,1118.2672
Belarus,All sectors with LULUCF,45379.8065,57986.7788,60893.4354,65886.1137,61103.6775
Belgium,All sectors with LULUCF,116234.3424,111398.2474,113538.1361,100820.8774,91085.8171
Belgium-Luxembourg,All sectors with LULUCF,,,,,
Belize,All sectors with LULUCF,6882.5556,3623.6198,3756.3512,6081.2921,5761.9301
Benin,All sectors with LULUCF,16502.9377,13247.5443,15442.5913,16354.6483,18090.7023
Bermuda,All sectors with LULUCF,0.0,0.0,0.0,0.0,0.0
Bhutan,All sectors with LULUCF,-6150.6322,-6134.2979,-5766.2979,71.1333,669.8018
Bolivia (Plurinational State of),All sectors with LULUCF,87443.6748,69156.2856,71815.5156,79320.8175,87024.416
Bosnia and Herzegovina,All sectors with LULUCF,17347.5079,17059.5633,22683.6949,15666.2814,20231.6246
