Area,Item,2000,2005,2010,2015,2020,Entity,Land Area(Km2),2000rel,2005rel,2010rel,2015rel,2020rel
Afghanistan,All sectors without LULUCF,914.0,1489.0,8630.0,8184.0,9438.0,Afghanistan,652230.0,713.6,438.03,75.58,79.7,69.11
Albania,All sectors without LULUCF,3160.67,4429.12,4930.46,4892.6,5272.85,Albania,28748.0,9.1,6.49,5.83,5.88,5.45
Algeria,All sectors without LULUCF,92071.29,108881.47,120601.69,166901.96,175502.2,Algeria,2381741.0,25.87,21.87,19.75,14.27,13.57
Angola,All sectors without LULUCF,16725.0,15771.0,23433.0,29090.0,26890.0,Angola,1246700.0,74.54,79.05,53.2,42.86,46.36
Antigua and Barbuda,All sectors without LULUCF,295.52,377.04,458.24,483.16,472.23,Antigua and Barbuda,443.0,1.5,1.17,0.97,0.92,0.94
Argentina,All sectors without LULUCF,145728.95,166729.55,191740.1,199361.0,172751.7,Argentina,2780400.0,19.08,16.68,14.5,13.95,16.09
Armenia,All sectors without LULUCF,3629.0,4515.0,4390.0,5201.0,6389.0,Armenia,29743.0,8.2,6.59,6.78,5.72,4.66
Aruba,All sectors without LULUCF,2383.3,2724.5,2514.35,903.05,877.9,Aruba,179.0,0.08,0.07,0.07,0.2,0.2
Australia,All sectors without LULUCF,340302.5,361103.0,405903.9,379804.5,356995.03,Australia,7741220.0,22.75,21.44,19.07,20.38,21.68
Austria,All sectors without LULUCF,65861.1,77301.17,71080.193,64380.193,59600.193,Austria,83871.0,1.27,1.08,1.18,1.3,1.41
Azerbaijan,All sectors without LULUCF,43464.0,41900.0,30230.0,35300.0,36220.0,Azerbaijan,86600.0,1.99,2.07,2.86,2.45,2.39
Bahamas,All sectors without LULUCF,1962.075,1843.548,2404.222,2053.185,1863.25,Bahamas,13878.0,7.07,7.53,5.77,6.76,7.45
Bahrain,All sectors without LULUCF,21080.0,22300.0,31720.0,35210.0,27140.0,Bahrain,765.0,0.04,0.03,0.02,0.02,0.03
Bangladesh,All sectors without LULUCF,29570.0,41270.0,55910.0,74970.0,94200.0,Bangladesh,148460.0,5.02,3.6,2.66,1.98,1.58
Barbados,All sectors without LULUCF,1163.0,1325.0,1471.0,1280.4,1120.1,Barbados,430.0,0.37,0.32,0.29,0.34,0.38
Belarus,All sectors without LULUCF,57386.5,62380.5,65691.8,61986.3,62697.3,Belarus,207600.0,3.62,3.33,3.16,3.35,3.31
Belgium,All sectors without LULUCF,120202.3,114372.47,116511.96,103141.7,90883.32,Belgium,30528.0,0.25,0.27,0.26,0.3,0.34
Belize,All sectors without LULUCF,398.3,424.77,538.97,644.94,557.0,Belize,22966.0,57.66,54.07,42.61,35.61,41.23
Benin,All sectors without LULUCF,1508.471,2537.211,4732.258,5644.315,7380.369,Benin,112622.0,74.66,44.39,23.8,19.95,15.26
Bhutan,All sectors without LULUCF,459.0,476.0,844.0,1388.0,1988.0,Bhutan,38394.0,83.65,80.66,45.49,27.66,19.31
Bosnia and Herzegovina,All sectors without LULUCF,14023.44,16646.04,22270.49,19316.67,21911.96,Bosnia and Herzegovina,51197.0,3.65,3.08,2.3,2.65,2.34
Botswana,All sectors without LULUCF,3829.7,4132.1,4573.0,5470.6,6448.4,Botswana,581730.0,151.9,140.78,127.21,106.34,90.21
Brazil,All sectors without LULUCF,347025.0,366944.0,438862.0,521679.0,453396.0,Brazil,8515770.0,24.54,23.21,19.4,16.32,18.78
Bulgaria,All sectors without LULUCF,46996.3,50311.4,45847.51,47255.7,36816.35,Bulgaria,110879.0,2.36,2.2,2.42,2.35,3.01
Burkina Faso,All sectors without LULUCF,1086.9,1188.1,2120.14,3816.19,4630.286,Burkina Faso,274200.0,252.28,230.79,129.33,71.85,59.22
Burundi,All sectors without LULUCF,295.9,177.9,324.1,437.5,552.8,Burundi,27830.0,94.05,156.44,85.87,63.61,50.34
Cambodia,All sectors without LULUCF,2017.57,2822.51,5147.61,8610.6,17492.3,Cambodia,181035.0,89.73,64.14,35.17,21.02,10.35
Cameroon,All sectors without LULUCF,5953.0,5732.0,8862.0,10232.0,9920.0,Cameroon,475440.0,79.87,82.94,53.65,46.47,47.93
Canada,All sectors without LULUCF,558790.0,587379.0,543755.0,574037.0,546321.0,Canada,9984670.0,17.87,17.0,18.36,17.39,18.28
Central African Republic,All sectors without LULUCF,286.9,255.2,285.2,314.5,315.1,Central African Republic,622984.0,2171.43,2441.16,2184.38,1980.87,1977.1
Chad,All sectors without LULUCF,522.7,994.1,1155.4,1231.0,1591.0,Chad,1284000.0,2456.48,1291.62,1111.3,1043.05,807.04
Chile,All sectors without LULUCF,60300.0164,62940.0328,72460.0491,82350.0506,77080.0594,Chile,756096.0,12.54,12.01,10.43,9.18,9.81
China,All sectors without LULUCF,3839649.997,6413383.736,9311518.108,10722793.6,11515339.48,China,9596960.0,2.5,1.5,1.03,0.9,0.83
Colombia,All sectors without LULUCF,57483.3,61364.7,77966.0,87867.2,89308.4,Colombia,1138910.0,19.81,18.56,14.61,12.96,12.75
Comoros,All sectors without LULUCF,104.9,141.2,163.45,171.59,228.9,Comoros,2235.0,21.31,15.83,13.67,13.03,9.76
Congo,All sectors without LULUCF,4602.3026,4474.7032,5427.5039,5818.0051,5061.0057,Congo,2345409.0,509.62,524.15,432.13,403.13,463.43
Costa Rica,All sectors without LULUCF,5471.0,6788.0,7591.0,7492.0,8177.0,Costa Rica,51100.0,9.34,7.53,6.73,6.82,6.25
Croatia,All sectors without LULUCF,20474.0,24340.107,21710.0298,18910.0298,17590.0,Croatia,56594.0,2.76,2.33,2.61,2.99,3.22
Cuba,All sectors without LULUCF,26850.333,26700.464,34590.469,29634.476,23845.482,Cuba,110860.0,4.13,4.15,3.2,3.74,4.65
Cyprus,All sectors without LULUCF,7071.0,7417.0,7631.0,6654.0,6175.0,Cyprus,9251.0,1.31,1.25,1.21,1.39,1.5
Czechia,All sectors without LULUCF,128687.1,124549.5,116871.5,103777.9,89225.7,Czechia,78871.0,0.61,0.63,0.67,0.76,0.88
Denmark,All sectors without LULUCF,53743.38,49413.68,47633.81,32573.88,24453.72,Denmark,43094.0,0.8,0.87,0.9,1.32,1.76
Djibouti,All sectors without LULUCF,369.28,416.32,519.73,435.1,371.8,Djibouti,23200.0,62.82,55.73,44.64,53.32,62.4
Dominica,All sectors without LULUCF,133.1,165.8,183.1,180.61,151.0,Dominica,751.0,5.64,4.53,4.1,4.16,4.97
Dominican Republic,All sectors without LULUCF,19620.264,18010.311,20670.365,23570.413,23130.462,Dominican Republic,48670.0,2.48,2.7,2.35,2.06,2.1
Ecuador,All sectors without LULUCF,21683.07,31403.42,37253.77,42194.12,35074.48,Ecuador,283561.0,13.08,9.03,7.61,6.72,8.08
Egypt,All sectors without LULUCF,147600.147,173700.321,211800.352,232900.39,243100.43,Egypt,1001450.0,6.78,5.77,4.73,4.3,4.12
El Salvador,All sectors without LULUCF,5737.0,6420.0,6421.0,6818.0,6724.0,El Salvador,21041.0,3.67,3.28,3.28,3.09,3.13
Equatorial Guinea,All sectors without LULUCF,2762.61,8795.0,8653.0,6973.0,7310.0,Equatorial Guinea,28051.0,10.15,3.19,3.24,4.02,3.84
Eritrea,All sectors without LULUCF,608.8,770.7,501.5,658.1,676.0,Eritrea,117600.0,193.17,152.59,234.5,178.7,173.96
Estonia,All sectors without LULUCF,17072.01,19123.518,20989.22,20408.343,15987.326,Estonia,45228.0,2.65,2.37,2.15,2.22,2.83
Eswatini,All sectors without LULUCF,1214.16,1014.16,1024.38,984.78,899.08,Eswatini,17364.0,14.3,17.12,16.95,17.63,19.31
Ethiopia,All sectors without LULUCF,3529.618,5035.758,6425.926,12801.15,15521.37,Ethiopia,1104300.0,312.87,219.29,171.85,86.27,71.15
Fiji,All sectors without LULUCF,839.9,1039.82,1148.63,2060.5,2601.3,Fiji,18274.0,21.76,17.57,15.91,8.87,7.02
Finland,All sectors without LULUCF,53810.0,56640.0,64400.0,45410.0,36960.0,Finland,338145.0,6.28,5.97,5.25,7.45,9.15
France,All sectors without LULUCF,392000.0,416610.0,384590.0,342210.0,281750.0,France,643801.0,1.64,1.55,1.67,1.88,2.29
Gabon,All sectors without LULUCF,6418.156,6333.185,5899.225,6670.273,5353.315,Gabon,267667.0,41.7,42.26,45.37,40.13,50.0
Gambia,All sectors without LULUCF,282.71,334.89,438.9,531.3,677.9,Gambia,11300.0,39.97,33.74,25.75,21.27,16.67
Georgia,All sectors without LULUCF,5698.0,6051.0,7124.2,10540.0,9650.0,Georgia,69700.0,12.23,11.52,9.78,6.61,7.22
Germany,All sectors without LULUCF,870492.0,831984.0,794375.0,760367.0,603759.0,Germany,357022.0,0.41,0.43,0.45,0.47,0.59
Ghana,All sectors without LULUCF,6470.0,6983.0,9915.0,16590.0,19860.0,Ghana,238533.0,36.87,34.16,24.06,14.38,12.01
Greece,All sectors without LULUCF,92160.139,99811.37,85134.53,67623.63,52182.03,Greece,131957.0,1.43,1.32,1.55,1.95,2.53
Grenada,All sectors without LULUCF,191.921,217.08,261.15,261.1,267.13,Grenada,349.0,1.82,1.61,1.34,1.34,1.31
Guatemala,All sectors without LULUCF,9852.0,12170.0,11200.0,15620.0,14080.0,Guatemala,108889.0,11.05,8.95,9.72,6.97,7.73
Guinea,All sectors without LULUCF,1532.9,1878.1,2543.0,2504.5,3577.4,Guinea,245857.0,160.39,130.91,96.68,98.17,68.73
Guinea-Bissau,All sectors without LULUCF,153.36,220.41,246.23,287.56,389.98,Guinea-Bissau,36125.0,235.56,163.9,146.71,125.63,92.63
Guyana,All sectors without LULUCF,1753.853,1624.48,1894.859,2014.222,2357.127,Guyana,214969.0,122.57,132.33,113.45,106.73,91.2
Haiti,All sectors without LULUCF,1362.5,2077.0,2123.0,3223.0,3104.0,Haiti,27750.0,20.37,13.36,13.07,8.61,8.94
Honduras,All sectors without LULUCF,5024.9,7687.2,8053.1,10264.2,9623.3,Honduras,112090.0,22.31,14.58,13.92,10.92,11.65
Hungary,All sectors without LULUCF,58509.7,60730.6,53310.0,47481.5,49594.0,Hungary,93028.0,1.59,1.53,1.75,1.96,1.88
Iceland,All sectors without LULUCF,2947.37,3215.8,3831.68,3751.66,3001.7,Iceland,103000.0,34.95,32.03,26.88,27.45,34.31
India,All sectors without LULUCF,1078600.0,1282900.0,1767200.0,2394200.0,2501200.0,India,3287263.0,3.05,2.56,1.86,1.37,1.31
Indonesia,All sectors without LULUCF,285294.3,358611.0,447129.0,519146.0,592363.0,Indonesia,1904569.0,6.68,5.31,4.26,3.67,3.22
Iraq,All sectors without LULUCF,79540.0,116770.0,112490.0,169890.0,212800.0,Iraq,438317.0,5.51,3.75,3.9,2.58,2.06
Ireland,All sectors without LULUCF,42893.5,44181.6,40720.5,36794.6,31399.66,Ireland,84421.0,1.97,1.91,2.07,2.29,2.69
Israel,All sectors without LULUCF,62020.0,60330.0,71360.0,69080.0,64280.0,Israel,20770.0,0.33,0.34,0.29,0.3,0.32
Italy,All sectors without LULUCF,462744.0,486187.0,415262.0,343248.0,287134.0,Italy,301340.0,0.65,0.62,0.73,0.88,1.05
Jamaica,All sectors without LULUCF,10301.0,10408.0,7753.0,8022.8,7455.2,Jamaica,10991.0,1.07,1.06,1.42,1.37,1.47
Japan,All sectors without LULUCF,1283620.0,1310430.0,1240120.0,1219430.0,1036020.0,Japan,377944.0,0.29,0.29,0.3,0.31,0.36
Jordan,All sectors without LULUCF,15350.0,20510.0,20680.0,25350.0,18810.0,Jordan,89342.0,5.82,4.36,4.32,3.52,4.75
Kazakhstan,All sectors without LULUCF,128510.0,189590.0,259698.48,240156.46,270025.3,Kazakhstan,2724900.0,21.2,14.37,10.49,11.35,10.09
Kenya,All sectors without LULUCF,10552.689,8560.752,12050.871,16631.08,15971.26,Kenya,580367.0,55.0,67.79,48.16,34.9,36.34
Kiribati,All sectors without LULUCF,33.53,59.309,59.311,62.943,76.394,Kiribati,811.0,24.19,13.67,13.67,12.88,10.62
Kuwait,All sectors without LULUCF,55770.0,76410.0,93290.0,101030.0,106260.0,Kuwait,17818.0,0.32,0.23,0.19,0.18,0.17
Kyrgyzstan,All sectors without LULUCF,4773.0,5699.0,6512.0,10458.0,10683.0,Kyrgyzstan,199951.0,41.89,35.09,30.71,19.12,18.72
Latvia,All sectors without LULUCF,7132.19,7974.445,8746.341,15050.18,6548.0388,Latvia,64589.0,9.06,8.1,7.38,4.29,9.86
Lebanon,All sectors without LULUCF,15490.284,16690.2,19990.117,25810.0053,17940.0,Lebanon,10400.0,0.67,0.62,0.52,0.4,0.58
Lesotho,All sectors without LULUCF,1855.61,2015.67,2285.95,2336.29,2296.66,Lesotho,30355.0,16.36,15.06,13.28,12.99,13.22
Liberia,All sectors without LULUCF,437.7,673.4,780.2,1226.0,1443.0,Liberia,111369.0,254.44,165.38,142.74,90.84,77.18
Libya,All sectors without LULUCF,49660.0,54770.0,64240.0,49290.0,42970.0,Libya,1759540.0,35.43,32.13,27.39,35.7,40.95
Lithuania,All sectors without LULUCF,12531.2,14993.73,14471.29,15415.97,15361.85,Lithuania,65300.0,5.21,4.36,4.51,4.24,4.25
Luxembourg,All sectors without LULUCF,8578.0,11800.0,10922.0,9169.0,8129.0,Luxembourg,2586.0,0.3,0.22,0.24,0.28,0.32
Madagascar,All sectors without LULUCF,1913.5,1790.0,2008.0,3558.0,3653.0,Madagascar,587041.0,306.79,327.96,292.35,164.99,160.7
Malawi,All sectors without LULUCF,899.7,942.0,1066.0,1110.0,1316.0,Malawi,118484.0,131.69,125.78,111.15,106.74,90.03
Malaysia,All sectors without LULUCF,130041.7,183149.6,212857.8,250566.2,262274.2,Malaysia,329847.0,2.54,1.8,1.55,1.32,1.26
Maldives,All sectors without LULUCF,454.31,604.76,939.25,1305.9,1667.71,Maldives,298.0,0.66,0.49,0.32,0.23,0.18
Mali,All sectors without LULUCF,893.67,989.04,2061.78,3181.56,3892.22,Mali,1240192.0,1387.75,1253.94,601.52,389.81,318.63
Malta,All sectors without LULUCF,2152.63,2743.715,2606.654,1677.571,2217.52,Malta,316.0,0.15,0.12,0.12,0.19,0.14
Mauritania,All sectors without LULUCF,1124.28,1456.03,2028.13,2996.1,3648.7,Mauritania,1030700.0,916.76,707.88,508.2,344.01,282.48
Mauritius,All sectors without LULUCF,2699.4858,3305.652,3930.352,4224.852,4795.352,Mauritius,2040.0,0.76,0.62,0.52,0.48,0.43
Mexico,All sectors without LULUCF,426036.4,482180.2,501269.0,500047.0,391475.0,Mexico,1964375.0,4.61,4.07,3.92,3.93,5.02
Mongolia,All sectors without LULUCF,7516.81,8636.903,14096.791,23506.828,39912.895,Mongolia,1564116.0,208.08,181.1,110.96,66.54,39.19
Morocco,All sectors without LULUCF,33460.0,44990.0,54600.0,58790.0,63110.0,Morocco,446550.0,13.35,9.93,8.18,7.6,7.08
Mozambique,All sectors without LULUCF,1478.0,2740.0,3600.0,7360.0,9070.0,Mozambique,799380.0,540.85,291.74,222.05,108.61,88.13
Myanmar,All sectors without LULUCF,10541.6,12070.5,13501.9,22605.0,29463.9,Myanmar,676578.0,64.18,56.05,50.11,29.93,22.96
