Area,Item,2000,2005,2010,2015,2020,Entity,Land Area(Km2),2000rel,2005rel,2010rel,2015rel,2020rel
Afghanistan,All sectors with LULUCF,-1474.803,1610.9016,8751.9016,7937.7809,9592.6574,Afghanistan,652230.0,-0.0022611701393680144,0.0024698367140425924,0.013418428468485042,0.01217021740796958,0.01470747650368735
Albania,All sectors with LULUCF,3344.0616,3306.2616,3806.9481,4040.6095,5026.4672,Albania,28748.0,0.11632327814108807,0.11500840406289133,0.13242479824683456,0.1405527167107277,0.17484580492556004
Algeria,All sectors with LULUCF,92645.083,106475.9717,118196.1917,166276.544,175699.32,Algeria,2381741.0,0.03889805104753204,0.04470510089048305,0.04962596340240186,0.06981302500985623,0.0737692805388999
Angola,All sectors with LULUCF,26917.6707,51278.9193,58935.1133,64591.0071,62374.852,Angola,1246700.0,0.021591137162107962,0.04113172318921954,0.04727289107243122,0.05180958297906473,0.050031965990214165
Antigua and Barbuda,All sectors with LULUCF,295.52,377.04,458.24,483.16,472.23,Antigua and Barbuda,443.0,0.6670880361173814,0.8511060948081265,1.0344018058690745,1.0906546275395035,1.065981941309255
Argentina,All sectors with LULUCF,192303.8578,263791.1305,288819.2697,267179.3126,204717.6459,Argentina,2780400.0,0.06916409789958279,0.09487524474895699,0.1038768773198101,0.09609383995108618,0.07362884689253345
Armenia,All sectors with LULUCF,3759.5921,4638.1818,4513.1818,5122.7903,6425.0668,Armenia,29743.0,0.12640258548229835,0.15594196281477996,0.1517392932790909,0.17223515785226776,0.21601946004101805
Aruba,All sectors with LULUCF,2383.3016,2724.4077,2514.2577,902.9935,877.7778,Aruba,179.0,13.31453407821229,15.220154748603353,14.046132402234637,5.044656424581006,4.903786592178771
Australia,All sectors with LULUCF,391068.7309,390824.2664,435616.5114,350697.9847,359523.4515,Australia,7741220.0,0.05051771308656775,0.050486133503504615,0.056272333223962114,0.04530267641276181,0.04644273790177776
Austria,All sectors with LULUCF,52566.9879,71326.4495,65106.9235,57505.0431,52673.5238,Austria,83871.0,0.6267599992846157,0.8504304169498397,0.7762745585482467,0.6856367886396967,0.6280302345268329
