Area,Item,2000,2005,2010,2015,2020,Entity,Land Area(Km2),2000rel,2005rel,2010rel,2015rel,2020rel
Afghanistan,All sectors without LULUCF,914.0,1489.0,8630.0,8184.0,9438.0,Afghanistan,652230.0,0.0014013461508976895,0.002282937000751269,0.01323152875519372,0.012547720896002944,0.01447035554942275
Albania,All sectors without LULUCF,3160.67,4429.12,4930.46,4892.6,5272.85,Albania,28748.0,0.1099439961040768,0.15406706553499375,0.17150619173507722,0.17018923055516907,0.18341623765131487
Algeria,All sectors without LULUCF,92071.29,108881.47,120601.69,166901.96,175502.2,Algeria,2381741.0,0.03865713778282357,0.04571507565264233,0.050635938164561134,0.07007561275554311,0.07368651755165655
Angola,All sectors without LULUCF,16725.0,15771.0,23433.0,29090.0,26890.0,Angola,1246700.0,0.013415416700088233,0.012650196518809657,0.018796021496751424,0.023333600705863478,0.021568942006898212
Antigua and Barbuda,All sectors without LULUCF,295.52,377.04,458.24,483.16,472.23,Antigua and Barbuda,443.0,0.6670880361173814,0.8511060948081265,1.0344018058690745,1.0906546275395035,1.065981941309255
Argentina,All sectors without LULUCF,145728.95,166729.55,191740.1,199361.0,172751.7,Argentina,2780400.0,0.05241294418069343,0.059966030067616166,0.06896133649834556,0.0717022730542368,0.062131959430297805
Armenia,All sectors without LULUCF,3629.0,4515.0,4390.0,5201.0,6389.0,Armenia,29743.0,0.12201190196012507,0.1518004236290892,0.14759775409340012,0.17486467404095082,0.21480684530813973
Aruba,All sectors without LULUCF,2383.3,2724.5,2514.35,903.05,877.9,Aruba,179.0,13.314525139664806,15.220670391061452,14.046648044692738,5.044972067039106,4.9044692737430164
Australia,All sectors without LULUCF,340302.5,361103.0,405903.9,379804.5,356995.03,Australia,7741220.0,0.04395980220172014,0.04664678177341556,0.052434099534698665,0.04906261545337815,0.0461161199397511
Austria,All sectors without LULUCF,65861.1,77301.17,71080.193,64380.193,59600.193,Austria,83871.0,0.7852666595128234,0.9216674416663686,0.8474942828868143,0.7676096982270392,0.7106174124548413
Azerbaijan,All sectors without LULUCF,43464.0,41900.0,30230.0,35300.0,36220.0,Azerbaijan,86600.0,0.5018937644341801,0.4838337182448037,0.34907621247113163,0.407621247113164,0.4182448036951501
Bahamas,All sectors without LULUCF,1962.075,1843.548,2404.222,2053.185,1863.25,Bahamas,13878.0,0.1413802421098141,0.13283960224816255,0.17323980400634098,0.14794530912235193,0.13425925925925927
Bahrain,All sectors without LULUCF,21080.0,22300.0,31720.0,35210.0,27140.0,Bahrain,765.0,27.555555555555557,29.15032679738562,41.4640522875817,46.02614379084967,35.47712418300654
Bangladesh,All sectors without LULUCF,29570.0,41270.0,55910.0,74970.0,94200.0,Bangladesh,148460.0,0.1991782298262158,0.2779873366563384,0.3765997575104405,0.5049845076114778,0.6345143472989357
Barbados,All sectors without LULUCF,1163.0,1325.0,1471.0,1280.4,1120.1,Barbados,430.0,2.7046511627906975,3.0813953488372094,3.4209302325581397,2.9776744186046513,2.6048837209302325
Belarus,All sectors without LULUCF,57386.5,62380.5,65691.8,61986.3,62697.3,Belarus,207600.0,0.2764282273603083,0.30048410404624276,0.3164344894026975,0.29858526011560693,0.3020101156069364
Belgium,All sectors without LULUCF,120202.3,114372.47,116511.96,103141.7,90883.32,Belgium,30528.0,3.937444313417191,3.7464776598532494,3.8165605345911953,3.378593422431866,2.977047955974843
Belize,All sectors without LULUCF,398.3,424.77,538.97,644.94,557.0,Belize,22966.0,0.017343028825219892,0.01849560219454846,0.023468170338761647,0.028082382652616915,0.024253243925803362
Benin,All sectors without LULUCF,1508.471,2537.211,4732.258,5644.315,7380.369,Benin,112622.0,0.013394105947328231,0.02252855569959688,0.042018948340466336,0.050117339418586065,0.06553221395464474
Bhutan,All sectors without LULUCF,459.0,476.0,844.0,1388.0,1988.0,Bhutan,38394.0,0.011954992967651195,0.01239777048497161,0.02198260144814294,0.03615148200239621,0.05177892379017555
Bosnia and Herzegovina,All sectors without LULUCF,14023.44,16646.04,22270.49,19316.67,21911.96,Bosnia and Herzegovina,51197.0,0.27391136199386684,0.32513701974725084,0.4349959958591324,0.37730081840732854,0.4279930464675664
