Country/Territory,2000 Population,2010 Population,2015 Population,2020 Population
Afghanistan,19542982,28189672,33753499,38972230
Albania,3182021,2913399,2882481,2866849
Algeria,30774621,35856344,39543154,43451666
American Samoa,58230,54849,51368,46189
Andorra,66097,71519,71746,77700
Angola,16394062,23364185,28127721,33428485
Anguilla,11047,13172,14525,15585
Antigua and Barbuda,75055,85695,89941,92664
Argentina,37070774,41100123,43257065,45036032
Armenia,3168523,2946293,2878595,2805608
Aruba,89101,100341,104257,106585
Australia,19017963,22019168,23820236,25670051
Austria,8010428,8362829,8642421,8907777
Azerbaijan,8190337,9237202,9863480,10284951
Bahamas,325014,373272,392697,406471
Bahrain,711442,1213645,1362142,1477469
Bangladesh,129193327,148391139,157830000,167420951
Barbados,264657,274711,278083,280693
Belarus,10256483,9731427,9700609,9633740
Belgium,10264343,10877947,11248303,11561717
Belize,240406,322106,359871,394921
Benin,6998023,9445710,10932783,12643123
Bermuda,61371,63447,63144,64031
Bhutan,587207,705516,743274,772506
Bolivia,8592656,10223270,11090085,11936162
Bosnia and Herzegovina,4179350,3811088,3524324,3318407
Botswana,1726985,2091664,2305171,2546402
Brazil,175873720,196353492,205188205,213196304
British Virgin Islands,20104,27556,29366,30910
Brunei,333926,396053,421437,441725
Bulgaria,8097691,7592273,7309253,6979175
Burkina Faso,11882888,16116845,18718019,21522626
Burundi,6307659,9126605,10727148,12220227
Cambodia,12118841,14363532,15417523,16396860
Cameroon,15091594,19878036,23012646,26491087
Canada,30683313,33963412,35732126,37888705
Cape Verde,458251,521212,552166,582640
Cayman Islands,39658,54074,60911,67311
Central African Republic,3759170,4660067,4819333,5343020
Chad,8259137,11894727,14140274,16644701
Chile,15351799,17004162,17870124,19300315
China,1264099069,1348191368,1393715448,1424929781
Colombia,39215135,44816108,47119728,50930662
Comoros,536758,656024,730216,806166
Cook Islands,15897,17212,17695,17029
Costa Rica,3979193,4622252,4895242,5123105
Croatia,4548434,4368682,4254815,4096868
Cuba,11105791,11290417,11339894,11300698
Curacao,141424,159380,169572,189288
Cyprus,948237,1129686,1187280,1237537
Czech Republic,10234710,10464749,10523798,10530953
Denmark,5340655,5550849,5677796,5825641
Djibouti,742033,919199,1006259,1090156
Dominica,68346,68755,70007,71995
Dominican Republic,8540791,9775755,10405832,10999664
DR Congo,48616317,66391257,78656904,92853164
Ecuador,12626507,14989585,16195902,17588595
Egypt,71371371,87252413,97723799,107465134
El Salvador,5958482,6114034,6231066,6292731
Equatorial Guinea,684977,1094524,1346973,1596049
Eritrea,2392880,3147727,3340006,3555868
Estonia,1396877,1331535,1314657,1329444
Eswatini,1030496,1099920,1133936,1180655
Ethiopia,67031867,89237791,102471895,117190911
Falkland Islands,3080,3187,3408,3747
Faroe Islands,45660,48410,48816,52415
Fiji,832509,905169,917200,920422
Finland,5176209,5363271,5479461,5529468
France,58665453,62444567,63809769,64480053
French Guiana,164351,228453,257026,290969
French Polynesia,250927,283788,291787,301920
Gabon,1272935,1711105,2028517,2292573
Gambia,1437539,1937275,2253133,2573995
Georgia,4265172,3836831,3771132,3765912
Germany,81551677,81325090,82073226,83328988
Ghana,19665502,25574719,28870939,32180401
Gibraltar,27741,31262,32520,32709
Greece,11038109,11033783,10806641,10512232
Greenland,56184,56351,55895,56026
Grenada,107432,114039,118980,123663
Guadeloupe,424067,403072,399089,395642
Guam,160188,164905,167978,169231
Guatemala,11735894,14543121,16001107,17362718
Guernsey,59114,60782,61629,62794
Guinea,8336967,10270728,11625998,13205153
Guinea-Bissau,1230849,1567220,1788919,2015828
Guyana,759051,747932,755031,797202
Haiti,8360225,9842880,10563757,11306801
Honduras,6656725,8450933,9294505,10121763
Hong Kong,6731195,7132438,7399838,7500958
Hungary,10202055,9986825,9844246,9750573
Iceland,281462,318333,331060,366669
India,1059633675,1240613620,1322866505,1396387127
Indonesia,214072421,244016173,259091970,271857970
Iran,65544383,75373855,81790841,87290193
Iraq,24628858,31264875,37757813,42556984
Ireland,3768950,4524585,4665760,4946119
Isle of Man,75562,83828,83593,84046
Israel,6116958,7328445,8007778,8757489
Italy,56966397,59822450,60232906,59500579
Ivory Coast,16799670,21120042,23596741,26811790
Jamaica,2612205,2733896,2794445,2820436
Japan,126803861,128105431,127250933,125244761
Jersey,86192,96151,100561,108319
Jordan,5056174,6931258,9494246,10928721
Kazakhstan,15236253,16627837,17835909,18979243
Kenya,30851606,41517895,46851488,51985780
Kiribati,88826,107995,116707,126463
